# Joint_A_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
-19.9162, 29.6056, 12.9557, 156.9973, 225.9973, -20.6056, 244.1178, 13.8690, 74.0275, -68.0842
-19.7255, 29.5518, 12.8612, 156.9138, 225.9138, -20.5518, 244.2122, 13.9826, 74.0719, -68.0785
-19.5240, 29.4411, 12.6769, 156.8029, 225.8029, -20.4411, 244.3966, 14.0025, 74.1000, -68.0853
-19.3469, 29.2668, 12.4194, 156.8254, 225.8254, -20.2668, 244.6541, 13.9562, 73.9665, -68.1005
-19.1755, 29.1516, 12.2676, 156.8911, 225.8911, -20.1516, 244.8059, 14.0284, 73.8405, -68.0951
-18.9853, 29.0437, 12.0776, 156.9174, 225.9174, -20.0437, 244.9959, 14.0853, 73.7436, -68.1158
-18.7912, 28.8521, 11.7929, 156.8621, 225.8621, -19.8521, 245.2805, 13.9982, 73.6723, -68.1299
-18.6095, 28.7179, 11.5767, 156.8472, 225.8472, -19.7179, 245.4968, 13.9928, 73.5996, -68.1467
-18.4280, 28.5733, 11.3520, 156.8004, 225.8004, -19.5733, 245.7215, 13.9622, 73.5519, -68.1595
-18.2733, 28.4607, 11.1640, 156.8809, 225.8809, -19.4607, 245.9095, 13.9910, 73.4049, -68.1825
-18.1134, 28.3417, 10.9833, 157.0062, 226.0062, -19.3417, 246.0901, 14.0443, 73.2173, -68.1975
-17.9413, 28.2451, 10.8184, 156.9072, 225.9072, -19.2451, 246.2551, 14.0510, 73.2483, -68.2065
-17.7983, 28.0936, 10.5881, 156.8794, 225.8794, -19.0936, 246.4854, 13.9688, 73.1803, -68.2232
-17.6546, 27.9917, 10.4675, 156.9942, 225.9942, -18.9917, 246.6060, 14.0484, 73.0230, -68.2138
-17.4946, 27.9110, 10.3009, 156.9229, 225.9229, -18.9110, 246.7726, 14.0579, 73.0333, -68.2389
