# Joint_B_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
-19.9257, 30.9064, 10.6839, 165.6120, 234.6120, -21.9064, 246.3896, 15.0591, 71.7883, -69.0393
-19.7284, 30.8853, 10.6522, 165.6565, 234.6565, -21.8853, 246.4212, 15.2899, 71.6804, -69.0475
-19.5227, 30.7046, 10.4114, 165.3791, 234.3791, -21.7046, 246.6621, 15.1594, 71.7568, -69.0461
-19.2968, 30.6106, 10.2924, 165.5140, 234.5140, -21.6106, 246.7810, 15.3577, 71.5128, -69.0633
-19.0784, 30.4270, 10.0674, 165.3891, 234.3891, -21.4270, 247.0061, 15.3140, 71.4522, -69.0614
-18.8556, 30.2844, 9.8575, 165.2904, 234.2904, -21.2844, 247.2159, 15.3204, 71.3846, -69.0826
-18.6482, 30.0972, 9.5979, 165.1420, 234.1420, -21.0972, 247.4755, 15.2266, 71.3413, -69.0987
-18.4548, 29.9277, 9.3765, 165.0176, 234.0176, -20.9277, 247.6969, 15.1621, 71.2964, -69.1052
-18.2659, 29.7896, 9.2322, 165.1033, 234.1033, -20.7896, 247.8413, 15.2465, 71.0893, -69.1017
-18.0681, 29.6112, 9.0149, 164.9736, 233.9736, -20.6112, 248.0585, 15.1825, 71.0481, -69.0983
-17.8945, 29.4868, 8.8206, 164.7872, 233.7872, -20.4868, 248.2529, 15.1147, 71.0890, -69.1162
-17.7095, 29.3436, 8.6502, 164.7203, 233.7203, -20.3436, 248.4232, 15.1129, 71.0176, -69.1138
-17.5144, 29.1839, 8.4762, 164.7237, 233.7237, -20.1839, 248.5972, 15.1372, 70.8736, -69.1069
-17.3316, 29.0399, 8.2849, 164.6480, 233.6480, -20.0399, 248.7886, 15.1130, 70.8073, -69.1168
-17.1681, 28.9383, 8.1464, 164.5437, 233.5437, -19.9383, 248.9271, 15.1170, 70.7983, -69.1221
-16.9853, 28.7881, 7.9731, 164.5504, 233.5504, -19.7881, 249.1003, 15.1319, 70.6594, -69.1221
-16.7994, 28.6631, 7.8045, 164.3725, 233.3725, -19.6631, 249.2690, 15.1012, 70.7002, -69.1235
-16.6364, 28.5131, 7.6218, 164.2817, 233.2817, -19.5131, 249.4517, 15.0491, 70.6566, -69.1222
-16.4373, 28.3868, 7.4553, 164.2009, 233.2009, -19.3868, 249.6182, 15.0705, 70.6055, -69.1289
-16.2514, 28.1968, 7.2502, 164.2587, 233.2587, -19.1968, 249.8232, 15.0590, 70.4026, -69.1236
-16.0348, 28.0749, 7.0478, 164.1159, 233.1159, -19.0749, 250.0256, 15.0560, 70.3998, -69.1521
-15.8405, 27.9038, 6.8322, 163.9431, 232.9431, -18.9038, 250.2412, 14.9765, 70.4150, -69.1498
-15.6423, 27.7586, 6.6459, 163.9163, 232.9163, -18.7586, 250.4275, 14.9890, 70.3075, -69.1594
-15.4499, 27.6257, 6.5031, 163.9607, 232.9607, -18.6257, 250.5703, 15.0571, 70.1480, -69.1556
-15.2600, 27.4538, 6.2859, 163.8621, 232.8621, -18.4538, 250.7876, 14.9955, 70.0975, -69.1595
-15.0838, 27.3006, 6.0873, 163.6964, 232.6964, -18.3006, 250.9862, 14.9193, 70.1238, -69.1602
-14.8874, 27.1695, 5.9018, 163.6988, 232.6988, -18.1695, 251.1717, 14.9466, 69.9965, -69.1822
-14.7059, 27.0400, 5.7663, 163.7012, 232.7012, -18.0400, 251.3072, 14.9925, 69.8843, -69.1729
-14.5129, 26.8688, 5.5316, 163.6097, 232.6097, -17.8688, 251.5418, 14.9237, 69.8270, -69.1893
-14.3279, 26.7140, 5.3327, 163.4442, 232.4442, -17.7140, 251.7407, 14.8572, 69.8543, -69.1889
-14.1324, 26.5831, 5.1459, 163.5087, 232.5087, -17.5831, 251.9276, 14.9005, 69.6715, -69.2169
-13.9504, 26.4394, 5.0003, 163.4937, 232.4937, -17.4394, 252.0732, 14.9237, 69.5723, -69.2021
-13.7650, 26.2775, 4.7721, 163.3607, 232.3607, -17.2775, 252.3013, 14.8420, 69.5642, -69.2180
-13.5870, 26.1270, 4.5756, 163.1804, 232.1804, -17.1270, 252.4978, 14.7670, 69.6129, -69.2181
-13.3972, 25.9909, 4.4169, 163.2247, 232.2247, -16.9909, 252.6566, 14.8122, 69.4574, -69.2223
-13.2240, 25.8606, 4.2335, 163.1993, 232.1993, -16.8606, 252.8400, 14.8004, 69.3698, -69.2413
-13.0460, 25.7029, 4.0307, 163.0003, 232.0003, -16.7029, 253.0427, 14.7112, 69.4363, -69.2387
-12.8672, 25.5639, 3.8895, 163.0232, 232.0232, -16.5639, 253.1840, 14.7462, 69.3082, -69.2275
-12.6875, 25.4317, 3.7129, 163.0046, 232.0046, -16.4317, 253.3605, 14.7475, 69.2154, -69.2412
-12.4796, 25.2897, 3.5339, 162.9383, 231.9383, -16.2897, 253.5395, 14.7607, 69.1587, -69.2454
-12.2862, 25.0781, 3.2829, 162.7403, 231.7403, -16.0781, 253.7905, 14.6226, 69.2029, -69.2336
-12.0990, 24.9626, 3.1466, 162.8024, 231.8024, -15.9626, 253.9269, 14.6950, 69.0445, -69.2400
-11.9017, 24.8357, 2.9772, 162.7602, 231.7602, -15.8357, 254.0963, 14.7180, 68.9753, -69.2513
-11.7026, 24.6497, 2.7606, 162.6370, 231.6370, -15.6497, 254.3128, 14.6491, 68.9620, -69.2422
-11.5211, 24.4802, 2.5723, 162.5809, 231.5809, -15.4802, 254.5012, 14.6087, 68.8987, -69.2325
-11.3335, 24.3655, 2.4142, 162.5714, 231.5714, -15.3655, 254.6592, 14.6441, 68.8078, -69.2481
-11.1190, 24.2412, 2.2465, 162.5138, 231.5138, -15.2412, 254.8269, 14.6856, 68.7529, -69.2590
-10.9345, 24.0493, 2.0103, 162.4674, 231.4674, -15.0493, 255.0632, 14.6012, 68.6695, -69.2643
-10.7385, 23.8936, 1.7993, 162.4170, 231.4170, -14.8936, 255.2742, 14.5701, 68.6003, -69.2802
-10.5280, 23.7076, 1.5731, 162.3580, 231.3580, -14.7076, 255.5003, 14.5239, 68.5278, -69.2824
-10.3359, 23.5886, 1.4256, 162.4175, 231.4175, -14.5886, 255.6479, 14.5855, 68.3733, -69.2934
-10.1443, 23.4058, 1.2135, 162.3197, 231.3197, -14.4058, 255.8599, 14.5185, 68.3477, -69.2858
-9.9532, 23.2643, 0.9955, 162.1974, 231.1974, -14.2643, 256.0779, 14.4660, 68.3553, -69.3114
-9.7686, 23.1227, 0.8259, 162.2136, 231.2136, -14.1227, 256.2476, 14.4759, 68.2385, -69.3162
-9.5893, 22.9580, 0.6135, 162.1440, 231.1440, -13.9580, 256.4600, 14.4121, 68.1959, -69.3247
-9.4113, 22.7994, 0.4567, 162.1470, 231.1470, -13.7994, 256.6167, 14.4092, 68.0931, -69.3073
-9.2391, 22.6420, 0.2621, 162.0355, 231.0355, -13.6420, 256.8113, 14.3443, 68.0986, -69.3064
-9.0655, 22.5457, 0.1418, 162.0982, 231.0982, -13.5457, 256.9316, 14.4154, 67.9583, -69.3170
-8.8563, 22.4069, -0.0362, 162.0031, 231.0031, -13.4069, 257.1097, 14.4219, 67.9463, -69.3207
-8.6748, 22.2074, -0.2768, 161.8858, 230.8858, -13.2074, 257.3502, 14.3061, 67.9433, -69.3176
