# Joint_A_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
-19.9887, 31.0838, -43.0867, 189.8231, 258.8231, -22.0838, 300.1601, -28.4055, -46.6624, -70.0366
-19.9037, 31.0738, -43.0698, 189.7687, 258.7687, -22.0738, 300.1433, -28.4413, -46.6617, -70.0309
-19.8240, 31.0372, -43.0210, 189.7531, 258.7531, -22.0372, 300.0944, -28.4429, -46.6160, -70.0307
-19.7363, 30.9947, -42.9709, 189.6993, 258.6993, -21.9947, 300.0444, -28.4366, -46.6015, -70.0312
-19.6418, 30.9423, -42.8986, 189.5787, 258.5787, -21.9423, 299.9720, -28.3957, -46.6404, -70.0204
-19.5517, 30.8655, -42.8393, 189.4822, 258.4822, -21.8655, 299.9128, -28.3529, -46.6604, -70.0389
-19.4548, 30.8043, -42.7646, 189.4129, 258.4129, -21.8043, 299.8380, -28.3203, -46.6480, -70.0384
-19.3507, 30.7407, -42.7073, 189.2804, 258.2804, -21.7407, 299.7807, -28.2891, -46.6969, -70.0445
-19.2566, 30.6801, -42.6504, 189.1698, 258.1698, -21.6801, 299.7239, -28.2574, -46.7313, -70.0504
-19.1707, 30.6264, -42.5948, 189.1317, 258.1316, -21.6264, 299.6682, -28.2433, -46.7014, -70.0578
-19.0800, 30.5600, -42.5233, 189.0421, 258.0421, -21.5600, 299.5967, -28.2003, -46.7132, -70.0615
-18.9925, 30.5241, -42.4791, 188.9974, 257.9974, -21.5241, 299.5525, -28.2051, -46.6935, -70.0610
-18.9178, 30.4722, -42.4040, 188.8634, 257.8634, -21.4722, 299.4775, -28.1439, -46.7578, -70.0468
-18.8281, 30.4089, -42.3550, 188.7541, 257.7541, -21.4089, 299.4285, -28.1145, -46.7958, -70.0595
-18.7299, 30.3402, -42.2981, 188.6995, 257.6995, -21.3402, 299.3716, -28.0965, -46.7743, -70.0769
-18.6359, 30.2770, -42.2232, 188.5384, 257.5384, -21.2770, 299.2966, -28.0384, -46.8538, -70.0695
-18.5392, 30.2404, -42.1487, 188.4254, 257.4253, -21.2404, 299.2221, -28.0108, -46.8881, -70.0456
-18.4511, 30.1498, -42.0686, 188.3041, 257.3041, -21.1498, 299.1421, -27.9379, -46.9297, -70.0605
-18.3632, 30.1085, -42.0235, 188.2684, 257.2685, -21.1085, 299.0969, -27.9412, -46.9014, -70.0647
-18.2760, 30.0485, -41.9455, 188.1214, 257.1214, -21.0485, 299.0190, -27.8816, -46.9718, -70.0542
-18.1881, 29.9947, -41.8898, 188.0403, 257.0403, -20.9947, 298.9633, -27.8586, -46.9842, -70.0580
-18.0954, 29.9364, -41.8405, 188.0016, 257.0016, -20.9364, 298.9140, -27.8527, -46.9545, -70.0730
-17.9943, 29.8960, -41.7742, 187.9301, 256.9300, -20.8960, 298.8476, -27.8427, -46.9492, -70.0609
