# Joint_B_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
-19.9859, 35.9210, -43.4129, 177.1587, 246.1587, -26.9210, 300.4864, -28.2956, -58.1639, -65.5640
-19.9402, 35.9610, -43.4381, 177.2392, 246.2392, -26.9610, 300.5116, -28.4066, -58.0747, -65.5539
-19.8690, 35.9546, -43.4257, 177.2216, 246.2216, -26.9546, 300.4991, -28.4608, -58.0524, -65.5501
-19.8083, 35.8841, -43.3651, 177.1180, 246.1180, -26.8841, 300.4386, -28.4066, -58.0989, -65.5615
-19.7372, 35.8772, -43.3446, 177.2400, 246.2400, -26.8772, 300.4181, -28.4917, -57.9404, -65.5650
-19.6690, 35.7983, -43.2821, 177.2233, 246.2233, -26.7983, 300.3555, -28.4617, -57.8987, -65.5892
-19.6022, 35.7183, -43.2282, 177.1446, 246.1446, -26.7183, 300.3017, -28.4199, -57.9194, -65.6143
-19.5416, 35.6546, -43.1561, 177.0717, 246.0717, -26.6546, 300.2296, -28.3693, -57.9346, -65.6159
-19.4717, 35.6119, -43.1244, 177.0497, 246.0497, -26.6119, 300.1978, -28.3846, -57.9090, -65.6292
-19.4049, 35.5286, -43.0728, 177.0444, 246.0444, -26.5286, 300.1463, -28.3620, -57.8599, -65.6643
-19.3333, 35.4799, -43.0175, 177.0102, 246.0102, -26.4799, 300.0910, -28.3543, -57.8386, -65.6674
-19.2582, 35.4169, -42.9643, 176.9491, 245.9491, -26.4169, 300.0377, -28.3363, -57.8408, -65.6806
-19.1914, 35.3057, -42.8822, 176.9147, 245.9148, -26.3057, 299.9557, -28.2663, -57.8098, -65.7174
-19.1342, 35.2411, -42.8346, 176.8950, 245.8950, -26.2411, 299.9080, -28.2440, -57.7827, -65.7389
-19.0622, 35.2035, -42.7990, 176.8408, 245.8408, -26.2035, 299.8725, -28.2536, -57.7868, -65.7431
-18.9971, 35.1452, -42.7406, 176.7657, 245.7657, -26.1452, 299.8141, -28.2208, -57.8072, -65.7484
-18.9321, 35.0751, -42.7008, 176.7528, 245.7528, -26.0751, 299.7742, -28.2110, -57.7714, -65.7795
-18.8662, 35.0108, -42.6487, 176.7466, 245.7466, -26.0108, 299.7222, -28.1978, -57.7262, -65.7991
-18.7976, 34.9793, -42.6011, 176.7870, 245.7870, -25.9793, 299.6745, -28.2221, -57.6386, -65.7992
-18.7321, 34.8834, -42.5284, 176.7050, 245.7050, -25.8834, 299.6018, -28.1549, -57.6591, -65.8254
-18.6592, 34.7877, -42.4576, 176.6049, 245.6049, -25.7877, 299.5311, -28.0922, -57.6942, -65.8511
-18.5845, 34.7275, -42.4063, 176.6128, 245.6128, -25.7275, 299.4798, -28.0943, -57.6322, -65.8692
-18.5067, 34.7100, -42.3869, 176.6641, 245.6641, -25.7100, 299.4604, -28.1599, -57.5382, -65.8758
-18.4364, 34.6012, -42.2953, 176.5712, 245.5712, -25.6012, 299.3688, -28.0728, -57.5619, -65.9002
-18.3722, 34.5559, -42.2404, 176.6389, 245.6389, -25.5559, 299.3139, -28.0849, -57.4478, -65.9092
-18.3001, 34.4947, -42.1888, 176.5990, 245.5990, -25.4947, 299.2622, -28.0715, -57.4334, -65.9238
-18.2254, 34.4144, -42.1342, 176.5270, 245.5270, -25.4144, 299.2076, -28.0392, -57.4467, -65.9492
-18.1564, 34.3337, -42.0708, 176.5025, 245.5025, -25.3337, 299.1443, -28.0058, -57.4149, -65.9737
-18.0949, 34.2741, -42.0233, 176.4780, 245.4780, -25.2741, 299.0967, -27.9895, -57.3923, -65.9908
-18.0127, 34.2200, -41.9732, 176.4650, 245.4650, -25.2200, 299.0467, -27.9983, -57.3484, -66.0029
-17.9328, 34.1441, -41.9093, 176.3928, 245.3928, -25.1441, 298.9828, -27.9669, -57.3580, -66.0193
-17.8677, 34.0687, -41.8387, 176.4167, 245.4167, -25.0687, 298.9121, -27.9384, -57.2805, -66.0393
-17.7996, 33.9921, -41.7732, 176.3826, 245.3826, -24.9921, 298.8467, -27.9025, -57.2590, -66.0584
-17.7398, 33.9213, -41.7383, 176.3309, 245.3309, -24.9213, 298.8118, -27.8811, -57.2665, -66.0897
-17.6783, 33.8473, -41.6770, 176.1898, 245.1898, -24.8473, 298.7504, -27.8185, -57.3532, -66.1002
-17.6128, 33.7910, -41.6288, 176.1755, 245.1755, -24.7910, 298.7023, -27.8101, -57.3199, -66.1152
