step,description,right_j5_deg,right_j6_deg,left_j5_deg,left_j6_deg
0,"Initial Ready Pose",-10.0995,56.9070,-10.0995,-56.9070
1,"Joint 0 Offset: -2.5deg",-10.0994,56.9041,-10.0994,-56.9041
2,"Joint 0 Offset: -5.0deg",-10.0993,56.9041,-10.0993,-56.9041
3,"Joint 0 Offset: 2.5deg",-10.0995,56.9041,-10.0995,-56.9041
4,"Joint 0 Offset: 5.0deg",-10.0996,56.9041,-10.0996,-56.9041
5,"Joint 1 Offset: -2.5deg",-10.0994,56.9041,-10.0995,-56.9041
6,"Joint 1 Offset: -5.0deg",-10.0994,56.9041,-10.0995,-56.9041
7,"Joint 1 Offset: 2.5deg",-10.0995,56.9041,-10.0994,-56.9041
8,"Joint 1 Offset: 5.0deg",-10.0995,56.9041,-10.0994,-56.9041
9,"Joint 2 Offset: -2.5deg",-10.0994,56.9041,-10.0994,-56.9041
10,"Joint 2 Offset: -5.0deg",-10.0994,56.9041,-10.0994,-56.9041
11,"Joint 2 Offset: 2.5deg",-10.0995,56.9041,-10.0995,-56.9041
12,"Joint 2 Offset: 5.0deg",-10.0995,56.9041,-10.0996,-56.9041
13,"Joint 4 Offset: -2.5deg",-10.0995,56.9041,-10.0994,-56.9041
14,"Joint 4 Offset: -5.0deg",-10.0995,56.9041,-10.0994,-56.9041
15,"Joint 4 Offset: 2.5deg",-10.0994,56.9041,-10.0995,-56.9041
16,"Joint 4 Offset: 5.0deg",-10.0994,56.9041,-10.0995,-56.9041
17,"Joint 1+4 (+5.0,+5.0)deg",-10.0994,56.9041,-10.0995,-56.9041
18,"Joint 1+4 (+5.0,-5.0)deg",-10.0996,56.9041,-10.0993,-56.9041
19,"Joint 1+4 (-5.0,+5.0)deg",-10.0994,56.9041,-10.0996,-56.9041
20,"Joint 1+4 (-5.0,-5.0)deg",-10.0995,56.9041,-10.0994,-56.9041
21,"Joint 1+2 (+5.0,+5.0)deg",-10.0996,56.9041,-10.0995,-56.9041
22,"Joint 1+2 (-5.0,-5.0)deg",-10.0993,56.9041,-10.0994,-56.9042
23,"Restore Baseline Pose",-10.0995,56.9041,-10.0995,-56.9041
24,"RPY: (-2.50,0.00,0.00)",-10.0652,54.8013,-10.1350,-59.0084
25,"RPY: (-5.00,0.00,0.00)",-10.0287,52.7084,-10.1666,-61.1236
26,"RPY: (2.50,0.00,0.00)",-10.1489,58.9832,-10.0656,-54.7985
27,"RPY: (5.00,0.00,0.00)",-10.1806,61.0970,-10.0291,-52.7076
28,"RPY: (0.00,-2.50,0.00)",-12.0058,57.9769,-12.0166,-57.9595
29,"RPY: (0.00,-5.00,0.00)",-13.8348,59.1346,-13.8461,-59.1144
30,"RPY: (0.00,2.50,0.00)",-8.1562,55.8339,-8.1661,-55.8127
31,"RPY: (0.00,5.00,0.00)",-6.1370,54.8628,-6.1464,-54.8413
32,"RPY: (0.00,0.00,-2.50)",-8.0457,57.0409,-12.1991,-56.6217
33,"RPY: (0.00,0.00,-5.00)",-5.9872,57.1325,-14.2284,-56.4177
34,"RPY: (0.00,0.00,2.50)",-12.1403,56.7473,-8.1113,-56.9117
35,"RPY: (0.00,0.00,5.00)",-14.1736,56.5462,-6.0586,-57.0059
36,"Pos: (0.000,-0.015,0.000)",-11.3198,58.3340,-9.0129,-55.3048
37,"Pos: (0.000,-0.030,0.000)",-12.5332,59.8799,-7.8500,-53.9836
38,"Pos: (0.000,0.015,0.000)",-9.0334,55.2573,-11.5287,-57.9455
39,"Pos: (0.000,0.030,0.000)",-7.8703,53.9365,-12.7563,-59.4892
40,"Pos: (0.000,0.000,-0.015)",-11.2212,55.6258,-11.1939,-55.6794
41,"Pos: (0.000,0.000,-0.030)",-12.1982,54.8611,-12.1720,-54.9176
42,"Pos: (0.000,0.000,0.015)",-9.5897,57.1845,-9.5634,-57.2355
43,"Pos: (0.000,0.000,0.030)",-8.8973,58.0630,-8.8714,-58.1119
44,"Head Pan: -3.50deg",-10.4054,56.2899,-10.3788,-56.3430
45,"Head Pan: -1.75deg",-10.4051,56.2903,-10.3784,-56.3434
46,"Head Pan: +1.75deg",-10.4051,56.2903,-10.3785,-56.3434
47,"Head Pan: +3.50deg",-10.4051,56.2903,-10.3785,-56.3434
48,"Head Tilt: -3.50deg",-10.4051,56.2903,-10.3785,-56.3434
49,"Head Tilt: -1.75deg",-10.4051,56.2903,-10.3785,-56.3434
50,"Head Tilt: +1.75deg",-10.4051,56.2903,-10.3785,-56.3434
51,"Head Tilt: +3.50deg",-10.4051,56.2903,-10.3785,-56.3434
