# Joint_A_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
-19.9433, 3.8012, -10.2858, 165.4226, 234.4226, 5.1988, 267.3593, -2.8526, -58.6545, -70.9634
-19.7771, 3.7667, -10.2269, 165.4494, 234.4494, 5.2333, 267.3003, -2.9638, -58.6551, -70.9487
-19.6167, 3.6057, -10.0356, 165.4016, 234.4016, 5.3943, 267.1090, -2.8764, -58.6793, -70.9716
-19.4500, 3.4678, -9.8546, 165.4074, 234.4074, 5.5322, 266.9280, -2.8301, -58.6595, -70.9825
-19.2814, 3.3566, -9.7152, 165.4200, 234.4200, 5.6434, 266.7887, -2.8349, -58.6475, -70.9919
-19.1129, 3.2121, -9.5288, 165.3575, 234.3575, 5.7879, 266.6023, -2.7641, -58.6934, -71.0014
-18.9336, 3.0497, -9.3097, 165.3253, 234.3253, 5.9503, 266.3832, -2.6764, -58.7041, -71.0106
-18.7521, 2.9091, -9.1172, 165.3354, 234.3354, 6.0909, 266.1907, -2.6347, -58.6842, -71.0169
-18.5829, 2.7738, -8.9114, 165.3663, 234.3663, 6.2262, 265.9849, -2.5772, -58.6389, -71.0143
-18.4120, 2.6452, -8.7817, 165.1674, 234.1674, 6.3548, 265.8551, -2.5287, -58.8361, -71.0303
-18.2182, 2.5354, -8.5879, 165.3271, 234.3271, 6.4646, 265.6614, -2.5518, -58.6796, -71.0176
-18.0371, 2.3470, -8.3543, 165.2006, 234.2006, 6.6530, 265.4278, -2.4176, -58.7816, -71.0358
-17.8620, 2.2540, -8.2162, 165.3153, 234.3153, 6.7460, 265.2896, -2.4632, -58.6796, -71.0359
-17.6768, 2.0854, -8.0218, 165.2167, 234.2167, 6.9146, 265.0952, -2.3821, -58.7686, -71.0582
-17.5021, 1.9384, -7.8130, 165.3046, 234.3046, 7.0616, 264.8865, -2.3340, -58.6731, -71.0674
-17.3217, 1.7451, -7.5897, 165.1515, 234.1515, 7.2549, 264.6632, -2.1989, -58.8075, -71.0934
-17.1402, 1.6582, -7.4362, 165.2906, 234.2906, 7.3418, 264.5096, -2.2451, -58.6828, -71.0816
-16.9625, 1.4736, -7.1852, 165.2469, 234.2469, 7.5264, 264.2587, -2.1143, -58.7066, -71.0932
-16.7711, 1.3372, -7.0050, 165.2122, 234.2122, 7.6628, 264.0785, -2.0827, -58.7459, -71.0985
-16.5995, 1.2005, -6.8098, 165.2791, 234.2791, 7.7995, 263.8833, -2.0409, -58.6781, -71.1049
-16.4140, 1.0463, -6.6250, 165.1537, 234.1537, 7.9537, 263.6985, -1.9704, -58.8036, -71.1179
-16.2573, 0.9181, -6.4447, 165.1674, 234.1674, 8.0819, 263.5181, -1.9181, -58.7888, -71.1225
-16.0857, 0.8026, -6.3026, 165.1641, 234.1641, 8.1974, 263.3760, -1.9155, -58.8046, -71.1331
-15.9010, 0.6696, -6.1112, 165.0376, 234.0376, 8.3304, 263.1847, -1.8505, -58.9334, -71.1244
-15.7223, 0.5296, -5.9035, 165.1751, 234.1751, 8.4704, 262.9769, -1.8172, -58.8000, -71.1314
-15.5279, 0.3700, -5.7120, 165.0835, 234.0835, 8.6300, 262.7854, -1.7559, -58.8983, -71.1469
-15.3380, 0.1768, -5.4544, 165.1083, 234.1083, 8.8232, 262.5278, -1.6414, -58.8672, -71.1659
-15.1581, 0.0402, -5.2718, 165.1045, 234.1045, 8.9598, 262.3453, -1.6024, -58.8805, -71.1733
-14.9535, -0.0940, -5.0848, 165.1131, 234.1131, 9.0940, 262.1582, -1.5883, -58.8890, -71.1748
-14.7905, -0.2703, -4.8426, 165.1076, 234.1076, 9.2703, 261.9160, -1.4608, -58.8870, -71.1877
-14.6292, -0.3880, -4.6978, 165.1145, 234.1145, 9.3880, 261.7713, -1.4457, -58.8951, -71.2006
