# Joint_B_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
-19.9081, 1.8197, -10.3668, 171.3180, 240.3180, 7.1803, 267.4403, -2.4025, -59.2027, -71.2766
-19.7424, 1.7590, -10.2808, 171.2451, 240.2451, 7.2410, 267.3543, -2.4525, -59.2370, -71.2787
-19.5746, 1.6939, -10.1285, 171.3511, 240.3511, 7.3061, 267.2019, -2.4975, -59.0811, -71.2676
-19.4216, 1.5681, -9.9489, 171.2072, 240.2072, 7.4319, 267.0223, -2.4055, -59.1543, -71.2720
-19.2498, 1.4508, -9.8060, 171.0741, 240.0741, 7.5492, 266.8795, -2.3707, -59.2279, -71.2887
-19.0881, 1.3513, -9.6128, 171.1873, 240.1873, 7.6487, 266.6862, -2.3589, -59.0536, -71.2871
-18.9163, 1.2405, -9.4688, 170.9993, 239.9993, 7.7595, 266.5422, -2.3123, -59.1813, -71.2926
-18.7427, 1.1206, -9.2971, 170.9739, 239.9739, 7.8794, 266.3705, -2.2829, -59.1456, -71.3068
-18.5678, 0.9976, -9.0869, 170.9609, 239.9609, 8.0024, 266.1603, -2.2247, -59.0881, -71.3054
-18.3806, 0.8521, -8.9009, 170.8215, 239.8215, 8.1479, 265.9743, -2.1554, -59.1580, -71.3240
-18.2079, 0.7486, -8.7180, 170.8132, 239.8132, 8.2514, 265.7915, -2.1284, -59.1062, -71.3200
-18.0417, 0.6165, -8.5293, 170.6730, 239.6730, 8.3835, 265.6028, -2.0422, -59.1796, -71.3257
-17.8528, 0.5149, -8.3719, 170.5868, 239.5868, 8.4851, 265.4454, -2.0347, -59.2106, -71.3258
-17.6858, 0.3841, -8.1742, 170.6274, 239.6274, 8.6159, 265.2476, -1.9869, -59.1088, -71.3423
-17.5087, 0.2586, -8.0072, 170.4945, 239.4945, 8.7414, 265.0807, -1.9359, -59.1833, -71.3537
-17.3228, 0.1438, -7.8087, 170.4936, 239.4936, 8.8562, 264.8821, -1.9048, -59.1233, -71.3524
-17.1374, 0.0098, -7.5999, 170.4493, 239.4493, 8.9902, 264.6733, -1.8446, -59.1028, -71.3582
-16.9532, -0.1085, -7.4170, 170.3069, 239.3069, 9.1085, 264.4905, -1.7900, -59.1853, -71.3547
-16.7880, -0.2177, -7.2293, 170.2326, 239.2326, 9.2177, 264.3028, -1.7324, -59.2026, -71.3472
